"Pair","Risk","Dev","NetProfit","ProfitFactor","Drawdown"
"EURUSD","2","1.5","-9689.32","0.76","97.07"
"EURUSD","2","2","-8903.75","0.79","89.53"
"EURUSD","5","1.5","-9999.65","0.76","100"
"EURUSD","5","2","-9967.72","0.79","99.7"
"GBPUSD","2","1.5","-9879.06","0.6","98.86"
"GBPUSD","2","2","-9698.56","0.58","97.11"
"GBPUSD","5","1.5","-9998.99","0.49","99.99"
"GBPUSD","5","2","-9999.21","0.5","99.99"
"USDJPY","2","1.5","-9808.65","0.78","98.4"
"USDJPY","2","1.5_utf8","-9808.65","0.78","98.4"
"USDJPY","2","2","-9429.53","0.72","94.85"
"USDJPY","5","1.5","-9999.05","0.83","99.99"
"USDJPY","5","2","-9999.61","0.74","100"
