"Pair","NetProfit","ProfitFactor","Drawdown"
"AUDUSD#","1182.52","6.26","2"
"AUDUSD","1179.91","6.15","2.04"
"EURUSD","397.6","1.51","5.85"
"USDCAD#","222.33","1.37","4.3"
"GBPUSD","217.66","1.35","3.99"
"USDCHF","-4.08","1","5.04"
"USDCHF#","-24.72","0.98","5.14"
"USDCAD","-146.11","0.82","7.77"
"USDJPY#","-115.62","0.81","4.01"
"EURCAD#","-306.59","0.75","5.93"
"USDJPY","-291.14","0.52","4.48"
"EURCHF#","-328.6","0.45","3.29"
"EURAUD#","-1023.43","0.24","11.69"
"USDPLN#","0","0","0"
"USDSEK","0","0","0"
"USDPLN","0","0","0"
"USDNOK","0","0","0"
"USDNOK#","0","0","0"
"USDTRY#","0","0","0"
"USDZAR#","0","0","0"
"USDZAR","0","0","0"
"USDTRY","0","0","0"
"USDSEK#","0","0","0"
"USDSGD","0","0","0"
"USDSGD#","0","0","0"
"USDCNH#","0","0","0"
"USDDKK","0","0","0"
"USDDKK#","0","0","0"
"CHFSGD#","0","0","0"
"NZDUSD","689.84","0","0"
"USDCNH","0","0","0"
"USDHUF#","0","0","0"
"USDMXN","0","0","0"
"USDMXN#","0","0","0"
"USDHKD","0","0","0"
"USDHKD#","0","0","0"
"USDHUF","0","0","0"
