"Pair","Period","Risk","Dev","ADX","NetProfit","ProfitFactor","Drawdown"
"USDJPY","H1","2","2","25","-291.14","0.52","4.48"
"USDJPY","H1","2","2","30","-931.68","0.41","9.32"
"USDJPY","H1","2","2","35","-935.45","0.6","14.22"
"USDJPY","H1","2","2.3","25","-291.14","0.52","4.48"
"USDJPY","H1","2","2.3","30","-876.7","0.25","10.23"
"USDJPY","H1","2","2.3","35","-1264.15","0.26","14.08"
"EURUSD","H1","2","2","25","397.6","1.51","5.85"
"EURUSD","H1","2","2","30","-204.63","0.91","7.38"
"EURUSD","H1","2","2","35","405.88","1.17","4.67"
"EURUSD","H1","2","2.3","25","228.36","1.29","5.85"
"EURUSD","H1","2","2.3","30","30.36","1.02","5.49"
"EURUSD","H1","2","2.3","35","161.02","1.08","5.84"
"GBPUSD","H1","2","2","25","217.66","1.35","3.99"
"GBPUSD","H1","2","2","30","230.81","1.16","5.13"
"GBPUSD","H1","2","2","35","-563.63","0.8","6.49"
"GBPUSD","H1","2","2.3","25","98.01","1.24","2.34"
"GBPUSD","H1","2","2.3","30","-19.48","0.98","4.69"
"GBPUSD","H1","2","2.3","35","-373.47","0.8","7.73"
"AUDUSD","H1","2","2","25","1179.91","6.15","2.04"
"AUDUSD","H1","2","2","30","1091.95","2.65","2.46"
"AUDUSD","H1","2","2","35","793.02","1.61","4.8"
"AUDUSD","H1","2","2.3","25","818.22","4.69","2.04"
"AUDUSD","H1","2","2.3","30","776.43","2.84","2.04"
"AUDUSD","H1","2","2.3","35","917.52","2.44","2.42"
"NZDUSD","H1","2","2","25","689.84","0","0"
"NZDUSD","H1","2","2","30","-947.16","0.45","10.33"
"NZDUSD","H1","2","2","35","-782.92","0.69","9.52"
"NZDUSD","H1","2","2.3","25","689.84","0","0"
"NZDUSD","H1","2","2.3","30","-379.76","0.68","6.28"
"NZDUSD","H1","2","2.3","35","-368.41","0.81","7.81"
"USDCAD","H1","2","2","25","-146.11","0.82","7.77"
"USDCAD","H1","2","2","30","-54.68","0.95","6.25"
"USDCAD","H1","2","2","35","-535.1","0.73","8.45"
"USDCAD","H1","2","2.3","25","-464.24","0.4","7.75"
"USDCAD","H1","2","2.3","30","-347.08","0.65","6.62"
"USDCAD","H1","2","2.3","35","-623.01","0.6","9.29"
"USDCHF","H1","2","2","25","-4.08","1","5.04"
"USDCHF","H1","2","2","30","120.61","1.08","6.93"
"USDCHF","H1","2","2","35","-202","0.91","8.67"
"USDCHF","H1","2","2.3","25","-126.59","0.84","4.36"
"USDCHF","H1","2","2.3","30","-223.49","0.84","6.93"
"USDCHF","H1","2","2.3","35","-133.27","0.92","5.87"
